Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Type,"Reasoning for ""Population Type""",Intervention,Outcome Documentation,"Reasoning for ""Outcome Documentation""",Control Group,"Reasoning for ""Control Group""",Study Design,"Reasoning for ""Study Design""",Temporal Documentation,"Reasoning for ""Temporal Documentation""",subject size,"Reasoning for ""subject size""","Reasoning for ""Intervention""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Medication-Related Osteonecrosis of the Jaw: MASCC/ISOO/ASCO Clinical Practice Guideline.,"N. Yarom, C. Shapiro, D. Peterson, C. V. Van Poznak, Kari Bohlke, S. Ruggiero, C. Migliorati, Aliya A. Khan, A. Morrison, Holly Anderson, B. Murphy, D. Alston-Johnson, R. Mendes, B. Beadle, S. Jensen, D. Saunders",10.1200/JCO.19.01186,https://doi.org/10.1200/JCO.19.01186,Journal of Clinical Oncology,238,2019,no,"The abstract specifically focuses on cancer patients, which explicitly contradicts the requirement for the study to focus exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",yes,yes,"The abstract clearly documents MRONJ outcomes following specific, documented dental procedures (extractions, periodontal surgery, implants, or prosthetic treatments), which meets the criterion of the study reporting MRONJ outcomes following specific, documented dental procedures.",maybe,"The abstract does not mention control groups, so it is uncertain whether the study includes a control group of non-anti-resorptive medication users.",yes,"The abstract mentions that only 10 of 132 publications were randomized controlled trials, which meets the criterion of the study design being either a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",maybe,"While the abstract mentions the need for documentation, it does not specifically detail the temporal relationships between medication use and MRONJ development, or the duration of medication use, so it is uncertain whether the study clearly documents both the temporal relationship between medication use and MRONJ development and the duration of medication use.",maybe,"The abstract mentions 132 publications but does not specify individual study sizes, so it is uncertain whether the studies meet the criterion of having a subject size of more than 100 people.","The abstract discusses dentoalveolar surgery and dental procedures, which meets the criterion of the subject having an intervention of invasive dental treatment, including tooth extraction, implant placement, periodontal surgery, other dental surgery, or removable prosthesis fabrication.",Exclude,"The abstract focuses on cancer patients and bone-modifying agents, which critically conflicts with the specified screening criteria requiring non-cancer patients and Romosozumab-specific intervention. Multiple key screening requirements are not met, particularly the population type and specific medication intervention, rendering the study unsuitable for inclusion in the systematic review.",0.1
Medication-related osteonecrosis of the jaws (MRONJ) in cancer patients treated with denosumab VS. zoledronic acid: A systematic review and meta-analysis,"Alvaro Limones, L. Sáez-Alcaide, S. Díaz-Parreño, A. Helm, M. Bornstein, P. Molinero-Mourelle",10.4317/medoral.23324,https://doi.org/10.4317/medoral.23324,Medicina Oral,91,2020,no,"The study specifically focuses on cancer patients, while the criteria require non-cancer patients with osteoporosis.",maybe,maybe,"While MRONJ outcomes are documented, the specific dental procedures leading to these outcomes are not detailed in the abstract.",maybe,The abstract doesn't mention a control group of non-anti-resorptive medication users.,yes,The study includes randomized controlled trials (RCTs).,yes,"The study clearly documents temporal relationships, showing outcomes at 1, 2, and 3 years of exposure.",yes,"The study includes 13,857 patients, well above the 100-person minimum.","While the study examines MRONJ, which typically follows dental procedures, the abstract doesn't explicitly state which dental procedures were involved.",Exclude,"The study focuses on cancer patients using denosumab and zoledronic acid, which fundamentally conflicts with the screening criteria requiring non-cancer osteoporosis patients using romosozumab. Critical mismatches in medication type and patient population render the study ineligible for inclusion in the systematic review. Despite meeting some methodological criteria like large sample size and study design, the core intervention and population requirements are not satisfied.",0.1
"Medication-Related Osteonecrosis of the Jaw (MRONJ): A Review of Pathophysiology, Risk Factors, Preventive Measures and Treatment Strategies","Raed Alrowis, A. Aldawood, Mohammed F. Alotaibi, Essam Alnasser, Ibrahim M. Alsaif, Abdullah Aljaber, Z. Natto",10.1016/j.sdentj.2022.01.003,https://doi.org/10.1016/j.sdentj.2022.01.003,Saudi Dental Journal,34,2022,no,"The abstract mentions both osteoporosis and cancer patients, and does not specify an adult-only population.",no,no,"While MRONJ outcomes are discussed, this is not a primary study documenting specific procedures and outcomes.",no,"No mention of control groups as this is a literature review, not a primary research study.",no,"This is explicitly a literature review, not a primary research study.",no,"While medication duration is mentioned (""less than three years""), this is not a primary study documenting temporal relationships.",no,"No specific subject size is mentioned as this is a literature review, not a primary research study.","While dental procedures are mentioned, this is a review paper discussing them generally rather than studying specific interventions.",Exclude,"This literature review fails to meet multiple critical screening criteria, including the specific intervention of Romosozumab, subject size requirements, and study design specifications. The paper discusses medication-related osteonecrosis of the jaw in general terms but lacks the precise methodological elements needed for inclusion in the systematic review. Consequently, the abstract does not qualify for further analysis based on the established screening criteria.",0.1
THE RISK OF MEDICATION‐RELATED OSTEONECROSIS OF THE JAW AFTER DENTAL EXTRACTION IS HIGHER FOR PATIENTS ON INTRAVENOUS AS COMPARED WITH ORAL ANTIRESORPTIVE DRUGS,E. Abt,10.1016/j.jebdp.2017.03.007,https://doi.org/10.1016/j.jebdp.2017.03.007,Journal of Evidence-Based Dental Practice,2,2017,no,"The abstract does not specify whether the patients were adults with diagnosed osteoporosis or if they had cancer, which is a significant uncertainty.",yes,yes,"The abstract indicates that the review looks at MRONJ outcomes following dental extraction, which meets this criterion.",maybe,"As a systematic review, the abstract likely includes studies with control groups, but this is not explicitly stated.",no,"The paper itself is a systematic review with meta-analysis, which means it analyzes other studies, but the specific study designs included in the review are not provided.",no,"The abstract mentions ""risk indicators"" but does not explicitly state whether the temporal relationships between medication use and MRONJ development, as well as the duration of medication use, are documented.",no,"The abstract does not provide information about the sample size of the studies included in the systematic review, so it is unclear if the studies had more than 100 subjects.","The abstract specifically mentions ""dental extraction"" as an intervention, which meets this criterion.",Include,"A systematic review and meta-analysis examining medication-related osteonecrosis of the jaw after dental extraction presents significant uncertainties regarding specific screening criteria. Key limitations include lack of clarity about medication type, patient population characteristics, and detailed documentation of temporal relationships and control groups. While addressing dental procedures and MRONJ outcomes, the abstract provides insufficient information to confidently confirm alignment with all predefined screening requirements.",2.8
Occurrence and risk indicators of medication-related osteonecrosis of the jaw after dental extraction: a systematic review and meta-analysis.,"É. Gaudin, L. Seidel, M. Bacevic, E. Rompen, F. Lambert",10.1111/jcpe.12455,https://doi.org/10.1111/jcpe.12455,Journal of Clinical Periodontology,96,2015,maybe,"The study includes both osteoporosis patients and cancer patients, while the criteria specifically require exclusive focus on non-cancer patients. The abstract doesn't specify age requirements.",yes,yes,The study clearly documents MRONJ outcomes following dental extraction procedures.,maybe,The abstract doesn't explicitly mention a control group of non-anti-resorptive medication users.,yes,"The abstract indicates these are prospective studies, which meets the criteria.",maybe,"While the study examines the relationship between ARD use and MRONJ, the abstract doesn't explicitly state whether it documents the duration of medication use.",maybe,"The abstract doesn't specify the total number of subjects included in the meta-analysis, so the subject size is unclear.","The study specifically focuses on dental extraction, which is one of the specified invasive dental treatments.",Exclude,"The study fails to meet critical screening criteria, specifically lacking focus on Romosozumab and including cancer patients, which deviates from the required population type. Multiple screening elements remain unclear, including subject size, control group composition, and temporal documentation of medication use. Despite addressing some relevant aspects like dental extraction and MRONJ outcomes, the fundamental misalignment with specified criteria renders the study unsuitable for inclusion.",1.4
Association between periodontitis and medication-related osteonecrosis of the jaw: a systematic review and meta-analysis.,"A. Lorenzo-Pouso, M. Pérez‐Sayáns, C. Chamorro-Petronacci, P. Gándara-Vila, P. López‐Jornet, Javier Carballo, A. García-García",10.1111/jop.12963,https://doi.org/10.1111/jop.12963,Journal of Oral Pathology & Medicine,36,2019,maybe,"The abstract does not mention specific age groups or cancer status, and only mentions ""at-risk non-affected patients"", so it is uncertain whether the population type criterion of adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer is met.",no,no,"While MRONJ is discussed, the abstract does not specify documentation of outcomes following specific dental procedures, and the focus is on periodontal disease association with MRONJ, so the outcome documentation criterion is not met.",yes,"The abstract mentions ""at-risk non-affected patients"" as controls, so the control group criterion is met.",yes,"The abstract includes cohort studies and case-control studies, so the study design criterion is met.",no,"The abstract does not mention temporal relationships or duration of medication use, so the temporal documentation criterion is not met.",maybe,"The abstract states that this is a systematic review/meta-analysis of 12 studies, but the individual study sizes are not specified, so it is uncertain whether the subject size criterion of more than 100 people is met.","While periodontal disease is discussed, the abstract does not specifically focus on invasive dental treatments, and the focus is on periodontal disease as a risk factor for MRONJ, so the intervention does not meet the criterion of invasive dental treatment.",Exclude,"The systematic review fails to meet key screening criteria, particularly the specific intervention of Romosozumab and focus on invasive dental treatments. While the study includes appropriate study designs and control groups, it fundamentally diverges from the required research parameters by examining periodontal disease's relationship to medication-related osteonecrosis of the jaw rather than the targeted intervention. Critical screening requirements around medication type, dental procedures, and population specifics were not satisfied.",1.4
Medication-Related Osteonecrosis of the Jaw in Patients Treated Concurrently with Antiresorptive and Antiangiogenic Agents: Systematic Review and Meta-Analysis,"A. Srivastava, G. N. Nogueras Gonzalez, Yimin Geng, Alexander M. Won, J. Myers, Yisheng Li, M. Chambers",10.36401/JIPO-21-14,https://doi.org/10.36401/JIPO-21-14,Journal of Immunotherapy and Precision Oncology,8,2021,no,"The abstract does not specify the age restrictions or cancer status of the study population, so it is uncertain whether this criterion is met.",no,maybe,"The abstract indicates that MRONJ outcomes are documented, but it does not provide details on the specific dental procedures that were studied, so it is only partially clear if this criterion is met.",maybe,"The study does compare antiresorptive (AR) drugs alone to concurrent antiangiogenic (AA) and AR therapy, which partially meets the requirement for a control group of non-AR users.",yes,"The abstract mentions that the study design includes retrospective cohort studies, which meets the acceptable study design criteria.",no,"The abstract does not mention the temporal relationship between medication use and MRONJ development or the duration of medication use, so it is unclear if this criterion is met.",maybe,"While the individual study sizes are not specified, the fact that the paper is a meta-analysis including 11 studies suggests that the total subject size is likely to be over 100 people, which would meet this criterion.","The abstract does not provide details on the specific types of invasive dental treatments that were studied, so it is unclear if this criterion is met.",Exclude,"The systematic review fails to meet critical screening criteria, particularly the requirement for Romosozumab as the specific anti-resorptive medication. Multiple screening elements remain uncertain, including population characteristics, dental intervention specifics, and temporal documentation of medication use. The meta-analysis's broad approach to antiresorptive drugs prevents it from satisfying the precise research parameters.",1.4
Effectiveness of treatments for medication-related osteonecrosis of the jaw: A systematic review and meta-analysis.,"M. El-Rabbany, Adam Sgro, D. Lam, P. Shah, A. Azarpazhooh",10.1016/j.adaj.2017.04.002,https://doi.org/10.1016/j.adaj.2017.04.002,The Journal of the American Dental Association (1939),65,2017,maybe,"The abstract does not specify age groups or cancer status, so it cannot be confirmed if the study meets the criteria of focusing exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",no,no,"While MRONJ outcomes are documented, they are not specifically tied to dental procedures, and the focus is on treatment effectiveness rather than procedure outcomes.",no,The study compares different treatment modalities and does not appear to include a control group of non-anti-resorptive users.,yes,"The study includes RCTs, non-randomized controlled trials, and prospective cohort studies, which meets the criterion for study design.",no,There is no mention of temporal relationships or medication duration in the abstract.,no,"The abstract mentions 13 studies with 76 participants in some analyses, which does not meet the requirement of more than 100 subjects.","While the paper discusses MRONJ, it focuses on treatment strategies rather than dental procedures, and does not specifically study dental interventions.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including the specific intervention of Romosozumab, subject size requirements, and focus on invasive dental treatments. While the study design includes acceptable research methodologies, it fundamentally does not align with the targeted research parameters around osteoporosis patients and dental procedures. The paper's broad approach to MRONJ treatment strategies renders it unsuitable for the specified screening criteria.",0.1
Risk-reductive dental strategies for medication related osteonecrosis of the jaw among cancer patients: A systematic review with meta-analyses.,"Harry Karna, Jaime González, Harveen S Radia, P. Sedghizadeh, R. Enciso",10.1016/j.oraloncology.2018.08.003,https://doi.org/10.1016/j.oraloncology.2018.08.003,Oral Oncology,26,2018,no,"The study focuses exclusively on cancer patients, which fails the criterion of focusing on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",yes,yes,"The study reports MRONJ outcomes following dental procedures, which meets the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",yes,"The study mentions ""compared to similar control groups receiving no intervention"", which meets the criterion of including a control group of non-anti-resorptive medication users.",yes,"The study includes RCT, case-control, and cohort studies, which meets the criterion of having a study design of either a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",maybe,"The study does not clearly document the temporal relationship between medication use and MRONJ development or the duration of medication use, so it only partially meets or is unclear on this criterion.",yes,"The study includes 2332 patients across multiple studies, which meets the criterion of having a subject size of more than 100 people.","The study mentions dental interventions and extractions, which meets the criterion of having an intervention of invasive dental treatment.",Exclude,"The systematic review focuses on cancer patients receiving antiresorptive therapy, which fundamentally conflicts with the specified screening criteria requiring non-cancer patients with osteoporosis. Critical mismatches include the population type and medication specification, rendering the study inappropriate for inclusion despite meeting several other methodological criteria. The core population and intervention do not align with the predefined screening requirements.",0.1
Medication-Related Osteonecrosis of the Jaw,"K. Yamagata, F. Uchida, N. Kanno, T. Yanagawa, H. Bukawa",10.5772/67980,https://doi.org/10.5772/67980,-,60,2017,no,"The abstract discusses both cancer and osteoporosis patients, indicating that the study is not exclusively focused on adult patients with diagnosed osteoporosis who do not have cancer.",maybe,maybe,"The abstract discusses MRONJ outcomes generally and mentions extraction sockets, which partially meets the criterion of reporting MRONJ outcomes following specific dental procedures.",maybe,The abstract does not mention the inclusion of a control group of non-anti-resorptive medication users.,no,"The abstract indicates that this appears to be a review article rather than a primary research study, and does not mention a specific study design.",no,"The abstract does not provide any specific documentation of the temporal relationship between medication use and MRONJ development, or the duration of medication use.",maybe,"The abstract does not mention the sample size of the study, so there is no information provided to determine if the subject size is more than 100 people.","The abstract mentions ""oral surgical procedures"" and ""extraction socket"", which partially meets the criterion of invasive dental treatment, but lacks specific details.",Exclude,"The abstract fails to meet critical screening criteria, particularly the requirement for Romosozumab as the specific intervention and an exclusive focus on non-cancer osteoporosis patients. Multiple key elements are missing, including specific study design, control group details, and precise documentation of temporal medication relationships. The text appears to be a general review of medication-related osteonecrosis rather than a targeted research study meeting the predefined screening requirements.",0.1
