Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Population Type,"Reasoning for ""Population Type""",Medication Type,"Reasoning for ""Medication Type""",Control Group,"Reasoning for ""Control Group""",Outcome Reporting,"Reasoning for ""Outcome Reporting""",Study Design,"Reasoning for ""Study Design""",Intervention Documentation,"Reasoning for ""Intervention Documentation""",Subject size,"Reasoning for ""Subject size""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Occurrence and risk indicators of medication-related osteonecrosis of the jaw after dental extraction: a systematic review and meta-analysis.,"É. Gaudin, L. Seidel, M. Bacevic, E. Rompen, F. Lambert",10.1111/jcpe.12455,https://doi.org/10.1111/jcpe.12455,Journal of Clinical Periodontology,96,2015,maybe,"While the study involves patients with osteoporosis, it does not explicitly state that all patients are adults (≥18 years).",no,"The study explicitly includes patients treated with ARDs for oncological reasons, which violates this criterion requiring a cancer-free population.",no,"The abstract mentions ""Antiresorptive Drugs (ARD)"" but does not specifically mention Denosumab (Prolia). The study appears to be a broader examination of ARDs, which is not specific enough to meet this criterion.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications. The comparison is between different ARD groups.,yes,"The study does report MRONJ incidence with clear focus on dental procedures (specifically extractions), meeting this criterion.",yes,"The abstract mentions ""prospective studies"" were selected, which meets this criterion.",maybe,"The study documents dental extractions and mentions ""adjusted extraction protocols,"" partially meeting this criterion, though the follow-up period is not specified.",maybe,"The abstract does not explicitly state the total number of subjects. As this is a meta-analysis, it likely includes more than 100 patients, but this cannot be confirmed from the abstract alone.",Include,"The study fails to meet several key screening criteria, including specificity to Denosumab, exclusion of cancer patients, and presence of a control group. While addressing medication-related osteonecrosis of the jaw, the research includes patients with oncological conditions and lacks precise documentation of intervention details. Critical methodological limitations prevent the study from fully satisfying the predefined screening requirements.",2.5
Risk of medication-related osteonecrosis of the jaw after dental extractions in patients receiving antiresorptive agents - A retrospective study of 240 patients.,"R. Coropciuc, R. Coopman, M. Garip, E. Gielen, C. Politis, T. Van den Wyngaert, B. Beuselinck",10.1016/j.bone.2023.116722,https://doi.org/10.1016/j.bone.2023.116722,Bone,13,2023,maybe,"While the study likely involves adults with osteoporosis, the abstract doesn't explicitly state the age range of participants.",no,"The study explicitly includes patients with bone metastases, which violates this criterion. The study population is mixed between osteoporosis and bone metastases patients.",maybe,"The abstract mentions ""antiresorptive agents"" but does not specifically mention Denosumab (Prolia), which is a significant limitation as it cannot be confirmed if Denosumab was included in the study.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications.,yes,The study clearly reports MRONJ incidence with specific diagnostic criteria (mentions stage 1) following dental procedures (extractions).,yes,"The study is described as ""retrospectively studied,"" indicating a retrospective cohort study design.",yes,"The study documents dental extractions with a median drug exposure of 43 months, providing clear documentation of the intervention and follow-up period.",yes,"The study includes 240 patients (126 with osteoporosis, 114 with bone metastases), which exceeds the minimum requirement of 100 patients.",Include,"The study involves a retrospective cohort of 240 patients examining medication-related osteonecrosis of the jaw, but fails to meet key screening criteria including the absence of a control group and inclusion of patients with bone metastases. While the research provides detailed insights into MRONJ incidence and risk factors, significant methodological limitations prevent full alignment with the specified screening requirements.",2.7
THE RISK OF MEDICATION‐RELATED OSTEONECROSIS OF THE JAW AFTER DENTAL EXTRACTION IS HIGHER FOR PATIENTS ON INTRAVENOUS AS COMPARED WITH ORAL ANTIRESORPTIVE DRUGS,E. Abt,10.1016/j.jebdp.2017.03.007,https://doi.org/10.1016/j.jebdp.2017.03.007,Journal of Evidence-Based Dental Practice,2,2017,no,"The abstract does not mention the age groups of the study population, so the reasoning is uncertain.",no,"The abstract does not mention any exclusion of cancer or bone metastases patients, so the reasoning is uncertain.",no,"The abstract only mentions ""medication-related osteonecrosis"" generally and does not specifically mention Denosumab/Prolia, so it fails this criterion.",no,"The abstract does not provide enough information to determine if the included studies had control groups, so the reasoning is uncertain.",maybe,"The study does focus on MRONJ following dental extraction and likely includes diagnostic criteria as it is a systematic review, so it partially meets this criterion.",no,"This is a systematic review with meta-analysis, not a primary study, so it fails this criterion.",maybe,"The study mentions dental extraction specifically, but the follow-up period is not specified, so it partially meets this criterion.",no,"As a systematic review/meta-analysis, the study likely includes more than 100 patients, but since it is a review of other studies rather than a primary study, it fails this criterion.",Exclude,"The systematic review fails to meet multiple screening criteria, particularly the requirement for a primary study examining Denosumab for osteoporosis treatment. Critical elements such as specific medication type, study design, and population characteristics are not clearly defined in the abstract, rendering the study non-compliant with the established screening requirements.",1.4
Medication-Related Osteonecrosis of the Jaw in Patients Treated Concurrently with Antiresorptive and Antiangiogenic Agents: Systematic Review and Meta-Analysis,"A. Srivastava, G. N. Nogueras Gonzalez, Yimin Geng, Alexander M. Won, J. Myers, Yisheng Li, M. Chambers",10.36401/JIPO-21-14,https://doi.org/10.36401/JIPO-21-14,Journal of Immunotherapy and Precision Oncology,8,2021,no,The abstract doesn't specify the age range of patients or whether they have diagnosed osteoporosis.,no,"The abstract doesn't explicitly state whether the population is free from cancer and bone metastases. Given the focus on antiangiogenic drugs, there's a possibility that some included studies involved cancer patients.",no,"The abstract discusses antiresorptive (AR) drugs but does not specifically mention Denosumab (Prolia). It appears to be a broader review of AR and antiangiogenic drugs, which is a significant mismatch with the criteria.",no,"The study does compare different treatment groups (AA only, AR only, and concurrent AA-AR), but not specifically a control group without anti-resorptive medications as required.",no,"While MRONJ incidence is reported with some prevalence data, the abstract doesn't mention specific diagnostic criteria or dental procedures leading to MRONJ.",no,"The paper is a systematic review and meta-analysis, not a primary study of the specified designs (RCT, cohort, or case-control). This fails to meet the criterion.",no,The abstract doesn't mention specific dental procedures or follow-up periods.,maybe,"The abstract mentions ""eleven studies"" were included, but doesn't specify the total number of patients. This information is unclear from the abstract alone.",Exclude,"The systematic review fails to meet multiple screening criteria, including specific medication type, study design, and population characteristics. Critical gaps exist in documentation of dental procedures, patient demographics, and precise diagnostic criteria for MRONJ. The broad scope of the review and lack of specificity prevent alignment with the predefined screening requirements.",1.4
Effectiveness of treatments for medication-related osteonecrosis of the jaw: A systematic review and meta-analysis.,"M. El-Rabbany, Adam Sgro, D. Lam, P. Shah, A. Azarpazhooh",10.1016/j.adaj.2017.04.002,https://doi.org/10.1016/j.adaj.2017.04.002,The Journal of the American Dental Association (1939),65,2017,no,The abstract does not specify the age range of participants or confirm that all subjects had diagnosed osteoporosis.,no,The abstract does not specify whether the population was free from cancer and bone metastases.,no,"The abstract does not specifically mention Denosumab (Prolia), which is the required medication type. It discusses MRONJ in general and mentions bisphosphonates, but not the specific medication required.",maybe,"The abstract mentions comparing surgical treatment to medical treatment, but does not specifically mention a control group of patients not taking anti-resorptive medications. This criterion is not clearly met.",no,"While MRONJ is the focus, the abstract doesn't specify diagnostic criteria or clearly indicate that the studies followed dental procedures. The focus appears to be on treatment outcomes rather than incidence following dental procedures.",yes,"The paper includes randomized controlled trials, nonrandomized controlled trials, and prospective cohort studies, which meets the study design criterion.",no,The abstract does not mention specific dental procedures or follow-up periods. It focuses on treatment strategies rather than the interventions leading to MRONJ.,maybe,"The abstract mentions 13 studies with 76 participants in the comparative analysis, but this is a meta-analysis of multiple studies. The total sample size across all included studies is not explicitly stated, creating uncertainty about whether the subject size criterion is met.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including specific medication type, clear population characteristics, and detailed documentation of dental procedures. While the study examines medication-related osteonecrosis of the jaw, it lacks the precise focus on Denosumab, osteoporosis patients, and specific intervention details required by the screening protocol. The meta-analysis provides insights into MRONJ treatment but does not align with the targeted research parameters.",1.4
The Prevention of Medication-related Osteonecrosis of the Jaw.,"P. Poxleitner, M. Engelhardt, R. Schmelzeisen, P. Voss",10.3238/arztebl.2017.0063,https://doi.org/10.3238/arztebl.2017.0063,Deutsches Ärzteblatt International,45,2017,maybe,"The abstract does not explicitly specify the age range of patients. While it likely includes adults, this cannot be confirmed from the abstract alone.",no,"The abstract specifically mentions patients with bone metastases and multiple myeloma, which explicitly violates this criterion requiring a cancer-free population.",no,"The abstract does not specifically mention Denosumab (Prolia), which is a critical failure of this key criterion.",no,"The abstract does not mention any control groups. While it discusses comparative outcomes (e.g., 57% vs 0% with antibiotic prophylaxis), these are not control groups in the context of medication use.",maybe,"The abstract does discuss MRONJ incidence and mentions diagnostic criteria, but this is in the context of reviewing other studies rather than reporting primary outcomes.",no,"This is a systematic review of other studies, not a primary research study of the required design types (RCT, cohort, or case-control). This fails to meet the criterion.",no,"While the abstract mentions tooth extraction and discusses dental procedures, this is in the context of reviewing other studies rather than documenting specific interventions in a primary study.",maybe,"The abstract mentions a case series of over 1200 patients, which exceeds the minimum requirement of 100 patients. However, this is not the main study but rather a cited example.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including the specific medication type, study design, and population requirements. Key disqualifying factors include the absence of Denosumab, inclusion of cancer patients, and the review's nature as a secondary research study rather than a primary intervention study. These fundamental deviations from the screening criteria render the paper unsuitable for inclusion in the systematic review.",0.1
Risk-reductive dental strategies for medication related osteonecrosis of the jaw among cancer patients: A systematic review with meta-analyses.,"Harry Karna, Jaime González, Harveen S Radia, P. Sedghizadeh, R. Enciso",10.1016/j.oraloncology.2018.08.003,https://doi.org/10.1016/j.oraloncology.2018.08.003,Oral Oncology,26,2018,no,"The abstract doesn't specify the age range of participants. Moreover, it focuses on cancer patients rather than osteoporosis patients.",no,"This criterion is clearly not met - the study specifically focuses on cancer patients, which is explicitly excluded in the screening criteria.",no,"The abstract mentions ""antiresorptive therapy"" but does not specifically mention Denosumab (Prolia), which is a significant mismatch with the inclusion criteria.",yes,"The abstract mentions ""compared to similar control groups receiving no intervention,"" meeting this criterion.",maybe,"The study reports MRONJ incidence, but it's unclear if there are clear diagnostic criteria specified in the full text.",maybe,"The paper is a systematic review that includes RCTs, case-control, and cohort studies, which would meet the design criteria. However, this is a review rather than a primary study, which may not be suitable for inclusion.",maybe,"The abstract mentions dental interventions and preventive measures, including ""initial examination and performing all necessary dental treatment,"" but doesn't specify the exact procedures or follow-up periods.",yes,"The study includes 2,332 patients, which clearly exceeds the minimum requirement of 100 patients.",Exclude,"The systematic review focuses on cancer patients receiving antiresorptive therapy, which fundamentally conflicts with the screening criteria targeting osteoporosis patients. Critical mismatches include the study population, medication type, and research design, rendering the paper unsuitable for inclusion in the systematic review. Multiple core screening requirements were not met, particularly the specification of Denosumab and the exclusion of cancer patients.",0.1
Association between periodontitis and medication-related osteonecrosis of the jaw: a systematic review and meta-analysis.,"A. Lorenzo-Pouso, M. Pérez‐Sayáns, C. Chamorro-Petronacci, P. Gándara-Vila, P. López‐Jornet, Javier Carballo, A. García-García",10.1111/jop.12963,https://doi.org/10.1111/jop.12963,Journal of Oral Pathology & Medicine,36,2019,no,The abstract doesn't specify the age range of the study population or confirm that all patients had diagnosed osteoporosis.,no,"There's no mention of excluding patients with cancer or bone metastases, which is a critical criterion.",no,"The abstract discusses ""antiresorptive therapies"" broadly but does not specifically mention Denosumab (Prolia). This is a significant limitation as Elicit could not confirm if Denosumab was included in the analysis.",maybe,"The abstract mentions ""at-risk non-affected patients"" as controls, which partially meets this criterion, though it's not explicitly clear if these patients were not taking anti-resorptive medications.",no,"While MRONJ is the primary outcome, the abstract doesn't specify clear diagnostic criteria. It focuses more on the association with periodontal disease rather than specific dental procedures.",maybe,"The paper is a systematic review and meta-analysis of observational studies, including cohort and case-control studies. While these study types are acceptable, this is a secondary analysis rather than a primary study.",no,"The abstract doesn't mention specific dental procedures or follow-up periods. Instead, it focuses on periodontal disease measures.",maybe,"The abstract mentions analyzing 12 studies (5 cohort, 7 case-control) but doesn't specify the total number of patients. This information is unclear.",Include,"The systematic review and meta-analysis fails to meet multiple critical screening criteria, including specific medication type, clear population characteristics, and detailed intervention documentation. Significant limitations exist in the study's design, population definition, and outcome reporting, which prevent it from satisfying the predefined inclusion requirements. The broad focus on antiresorptive therapies and periodontal disease, rather than a targeted examination of Denosumab and specific dental procedures, further disqualifies the study from meeting the screening criteria.",2.5
Medication-related osteonecrosis of the jaws (MRONJ) in cancer patients treated with denosumab VS. zoledronic acid: A systematic review and meta-analysis,"Alvaro Limones, L. Sáez-Alcaide, S. Díaz-Parreño, A. Helm, M. Bornstein, P. Molinero-Mourelle",10.4317/medoral.23324,https://doi.org/10.4317/medoral.23324,Medicina Oral,91,2020,maybe,"While the study involves cancer patients, it doesn't explicitly state the age range of participants. This creates uncertainty about meeting the adult population criterion.",no,"The study specifically focuses on cancer patients, which directly contradicts the requirement for a population free from cancer and bone metastases. This is a critical exclusion criterion.",no,"The study examines denosumab, but in cancer patients, not for osteoporosis treatment. This is a critical mismatch with the inclusion criteria.",no,"The study compares denosumab to zoledronic acid, but does not include a control group of patients not taking anti-resorptive medications. This fails to meet the criterion.",maybe,"The study reports MRONJ incidence with clear tracking over time (1, 2, and 3 years), but doesn't specifically mention diagnostic criteria following dental procedures.",yes,"The study analyzes randomized controlled trials (RCTs), which meets this criterion.",no,"The abstract doesn't mention specific dental procedures or follow-up periods for dental interventions, failing to meet this criterion.",yes,"The study includes 13,857 patients, well exceeding the minimum requirement of 100 patients.",Exclude,"The study focuses on cancer patients receiving denosumab, which fundamentally conflicts with the screening criteria requiring an osteoporosis patient population. Critical exclusion factors include the wrong patient population, lack of a control group without anti-resorptive medications, and explicit inclusion of cancer patients. These discrepancies render the study non-compliant with the specified screening requirements.",0.1
Medication-Related Osteonecrosis of the Jaw: MASCC/ISOO/ASCO Clinical Practice Guideline.,"N. Yarom, C. Shapiro, D. Peterson, C. V. Van Poznak, Kari Bohlke, S. Ruggiero, C. Migliorati, Aliya A. Khan, A. Morrison, Holly Anderson, B. Murphy, D. Alston-Johnson, R. Mendes, B. Beadle, S. Jensen, D. Saunders",10.1200/JCO.19.01186,https://doi.org/10.1200/JCO.19.01186,Journal of Clinical Oncology,238,2019,no,"The abstract doesn't specify age restrictions. Moreover, this paper focuses on cancer patients rather than osteoporosis patients.",no,"This paper explicitly focuses on cancer patients, which directly contradicts this criterion requiring a population free from cancer.",no,"The paper discusses bone-modifying agents (BMAs) broadly but does not specifically mention Denosumab (Prolia). While Denosumab is a BMA, this paper appears to be about BMAs in general for cancer patients, not specifically for osteoporosis treatment.",no,"The abstract doesn't mention control groups. As this is a guideline paper, it's not focused on comparing treatment groups.",no,"The paper does define MRONJ with clear diagnostic criteria, but this is part of the guideline recommendations rather than reporting outcomes from a primary study.",no,"The paper is a guideline development study that includes a systematic review of literature, including 10 RCTs. While it includes appropriate study designs, this is a secondary research paper rather than a primary research study.",no,"While the paper mentions dental procedures and follow-up periods, this is in the context of guidelines rather than reporting specific interventions and outcomes from a primary study.",maybe,"The abstract mentions 132 publications were reviewed, but doesn't specify the number of patients in any individual study. This criterion cannot be definitively assessed from the abstract.",Exclude,"This guideline development paper focuses on cancer patients receiving bone-modifying agents, fundamentally diverging from the specified screening criteria for osteoporosis treatment. The study fails to meet key requirements including population type, medication specificity, and study design, rendering it unsuitable for the intended systematic review. Multiple critical screening criteria are not satisfied, particularly the focus on cancer patients rather than osteoporosis patients.",0.1
