Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population - Age and Diagnosis,"Reasoning for ""Population - Age and Diagnosis""",Population - Cancer Status,"Reasoning for ""Population - Cancer Status""",Intervention,"Reasoning for ""Intervention""",Control Group,"Reasoning for ""Control Group""",Dental Procedures,"Reasoning for ""Dental Procedures""",MRONJ Definition,"Reasoning for ""MRONJ Definition""",Study Design,"Reasoning for ""Study Design""",Subject Size,"Reasoning for ""Subject Size""",follow up period,"Reasoning for ""follow up period""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
The Frequency of Medication-related Osteonecrosis of the Jaw and its Associated Risk Factors.,T. Dodson,10.1016/j.coms.2015.06.003,https://doi.org/10.1016/j.coms.2015.06.003,Oral and Maxillofacial Surgery Clinics of North America,92,2015,no,"The abstract mentions both cancer and osteoporosis patients, but doesn't specify age restrictions or exclusive focus on osteoporosis patients.",no,"The abstract explicitly includes cancer patients, which violates this criterion.",maybe,"The abstract mentions both oral and intravenous bisphosphonates, but doesn't focus exclusively on parenterally-administered bisphosphonates for osteoporosis treatment.",maybe,No mention of control groups in the abstract.,no,The abstract does not specifically mention or document any invasive dental procedures. It only discusses MRONJ in general terms.,maybe,"While MRONJ is mentioned, the abstract doesn't indicate whether established diagnostic criteria were used.",no,"The abstract appears to be a review article rather than a primary research study (RCT, cohort, or case-control).",maybe,The abstract does not mention the number of patients included in the study.,maybe,No information about follow-up period is provided in the abstract.,Exclude,"The abstract fails to meet multiple critical screening criteria, including specific dental procedure documentation, exclusive focus on osteoporosis patients, and absence of cancer patients. Key methodological details are missing, and the review's broad scope and inclusion of cancer patients disqualify it from meeting the systematic review's stringent requirements. The paper appears to be a general review rather than a focused primary research study addressing the specific screening criteria.",1.4
Bisphosphonate and Medication-Related Osteonecrosis of the Jaw: A Review,"T. Mücke, C. Krestan, D. Mitchell, J. Kirschke, A. Wutzl",10.1055/s-0036-1592367,https://doi.org/10.1055/s-0036-1592367,Seminars in Musculoskeletal Radiology,66,2016,no,"The abstract primarily focuses on cancer patients, not osteoporosis patients. While it mentions osteoporosis patients briefly, they are not the primary focus.",no,"The abstract explicitly focuses on patients with malignant disease, which directly contradicts this criterion.",no,"The abstract discusses bisphosphonates and denosumab, but appears to focus on cancer patients rather than osteoporosis treatment specifically. It only briefly mentions osteoporosis patients.",no,The abstract does not mention any control groups.,no,"The abstract mentions ""invasive dental procedures"" and ""dental implants"" but does not specifically document individual procedures. It discusses dental procedures generally rather than reporting specific incidence data.",maybe,"While MRONJ is discussed, the abstract does not clearly present established diagnostic criteria, though it mentions clinical presentations.",no,This appears to be a review article rather than a primary research study. It discusses general information about MRONJ but does not present a specific study design.,no,The abstract does not mention any specific study size or patient numbers.,no,The abstract does not mention any follow-up period.,Exclude,"The abstract fails to meet multiple critical screening criteria, primarily due to its focus on cancer patients rather than osteoporosis patients and its lack of specific research design elements. Key deficiencies include absence of documented dental procedures, undefined study size, no follow-up period, and missing control group information. The text appears to be a review article that does not align with the required research parameters.",1.4
Pharmacogenetics of medication-related osteonecrosis of the jaw: a systematic review and meta-analysis.,"Z. Guo, W. Cui, L. Que, C. Li, Xiu-fa Tang, J. Liu",10.1016/j.ijom.2019.07.016,https://doi.org/10.1016/j.ijom.2019.07.016,International Journal of Oral & Maxillofacial Surgery,20,2020,no,"The abstract does not specify patient age or confirm that all patients have primary osteoporosis diagnosis. In fact, it mentions multiple myeloma patients, which suggests a mixed population, so this fails to meet the criterion.",no,"The study explicitly includes multiple myeloma patients, which directly contradicts this criterion requiring cancer-free participants.",maybe,"The abstract mentions bisphosphonates but does not specify if they are parenterally-administered or specifically for osteoporosis treatment, so this criterion is partially met but lacks crucial specificity.",maybe,"The study appears to compare MRONJ and non-MRONJ groups, suggesting a control group exists, so this criterion is likely met.",no,"The abstract does not specifically mention or document any invasive dental procedures, which is a significant omission and fails to meet this crucial criterion.",no,"While MRONJ is the focus of the study, the abstract does not explicitly state the diagnostic criteria used, so this information is missing.",no,"This is a systematic review and meta-analysis, not a primary study design as specified in the criteria (RCT, cohort, or case-control), so this fails to meet the criterion.",yes,"The study includes 1515 participants, which exceeds the minimum requirement of 100 patients, so this criterion is met.",no,"The abstract does not mention any follow-up period, so this information is missing and cannot be confirmed.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including specific dental procedure documentation, primary study design requirements, and population characteristics. Significant deviations include the inclusion of cancer patients, lack of clear intervention specifics, and absence of a defined follow-up period. These fundamental shortcomings render the study non-compliant with the established screening criteria.",1.4
Medication-related osteonecrosis of the jaw: A literature review.,"S. Kuroshima, Muneteru Sasaki, T. Sawase",10.1016/j.job.2019.03.005,https://doi.org/10.1016/j.job.2019.03.005,Journal of Oral Biosciences,84,2019,no,"While the abstract mentions an aging population, it does not exclusively focus on adult patients with osteoporosis. It appears to cover a broader population.",no,The abstract does not specify whether patients with cancer were excluded.,no,"The abstract discusses bisphosphonates and other medications, but does not specifically focus on parenterally-administered bisphosphonates for osteoporosis treatment. It covers multiple types of antiresorptive agents.",no,No control group is mentioned as this is a literature review.,no,"The abstract mentions dental implant therapy and peri-implantitis, but does not specifically report MRONJ incidence following documented invasive dental procedures.",no,"While MRONJ is discussed, the abstract does not indicate that it uses established diagnostic criteria.",no,"This is a literature review, not a primary research study with any of the specified study designs.",no,The abstract does not mention any specific subject size as it is a literature review.,no,No specific follow-up period is mentioned in the abstract.,Exclude,"This literature review fails to meet multiple screening criteria, including specific study design requirements, lack of documented dental procedure incidence, and absence of a defined patient population. The abstract discusses medication-related osteonecrosis of the jaw broadly but does not provide the precise methodological details needed to satisfy the comprehensive screening criteria. Consequently, the paper does not qualify for inclusion based on the established screening parameters.",0.1
"Is the prevalence of the medication-related osteonecrosis of the jaws underestimated, evaluation in oncological and non-oncological disease.","B. Gális, J. Zajko, D. Hirjak, L. Vanko, I. Kupcová, J. Jurkemík, P. Gengelova, K. Mikušková, K. Halmova, M. Riznic, L. Czako",10.4149/BLL_2017_137,https://doi.org/10.4149/BLL_2017_137,Bratislava Medical Journal,20,2017,no,"The study includes both oncologic and non-oncologic patients, including breast cancer, prostate cancer, and multiple myeloma patients. It is not exclusively focused on osteoporosis patients.",no,"The study explicitly includes cancer patients (breast cancer, prostate cancer, multiple myeloma), violating this criterion.",no,"The abstract mentions ""antiresorptive drugs"" but does not specifically state they are parenterally-administered bisphosphonates. The study includes various conditions, including cancer patients.",no,There is no mention of a control group in the abstract.,no,"The abstract does not specifically document the invasive dental procedures that led to the MRONJ cases, so it is unclear if the study reports MRONJ incidence following the required dental procedures.",maybe,"While MRONJ is the focus, the abstract does not explicitly state the diagnostic criteria used.",maybe,"This appears to be a multi-centric prevalence study, but the exact study design is not clearly stated. It seems to be more of an observational study, but the specific design type is not explicitly mentioned.",yes,"The study includes 1,166 MRONJ patients, which exceeds the minimum requirement of 100 patients.",maybe,"The study period is 2010-2015 (6 years), but it is unclear if individual patient follow-up was at least 6 months.",Include,"The study fails to meet multiple critical screening criteria, including specific dental procedure documentation, intervention details, and population restrictions. While the research involves a large sample size and explores medication-related osteonecrosis, it includes cancer patients and lacks a clear control group, which deviates from the predefined systematic review requirements. The mixed patient population and absence of precise diagnostic criteria further compromise its alignment with the screening protocol.",2.5
Medication-Related Osteonecrosis of the Jaw,"K. Yamagata, F. Uchida, N. Kanno, T. Yanagawa, H. Bukawa",10.5772/67980,https://doi.org/10.5772/67980,-,60,2017,no,"The abstract discusses both cancer patients and osteoporosis patients, not exclusively osteoporosis patients.",no,"The paper explicitly includes cancer patients, which violates this criterion.",maybe,"While the abstract discusses bisphosphonates, it also covers denosumab and other antiangiogenic inhibitors. It is not specifically focused on parenterally-administered bisphosphonates for osteoporosis.",maybe,The abstract does not mention any control groups.,no,"The abstract mentions ""oral surgical procedures"" and ""extraction socket"" but does not specifically document incidence following these procedures. It is more of a general review of MRONJ rather than a study reporting specific procedure-related incidence.",maybe,"The abstract does discuss MRONJ definitions and terminology, but it is in a general context rather than as part of a specific study protocol.",no,This appears to be a review article rather than a primary research study with any of the specified study designs.,maybe,The abstract does not mention any specific patient numbers or study population size.,maybe,The abstract does not mention any follow-up period.,Exclude,"The abstract fails to meet multiple critical screening criteria, including specific dental procedure documentation, study design requirements, and population restrictions. It appears to be a review article discussing medication-related osteonecrosis of the jaw across various patient populations, rather than a focused research study meeting the predefined screening parameters. Consequently, the abstract does not qualify for inclusion based on the established criteria.",1.4
The Dental Management of Patients at Risk of Medication-Related Osteonecrosis of the Jaw: New Paradigm of Primary Prevention,"O. D. Fede, V. Panzarella, R. Mauceri, V. Fusco, A. Bedogni, L. Muzio, Sipmo Onj Board, G. Campisi",10.1155/2018/2684924,https://doi.org/10.1155/2018/2684924,BioMed Research International,127,2018,no,The abstract doesn't specify age restrictions or exclusive focus on osteoporosis patients. It mentions both cancer and non-cancer patients.,no,"The paper explicitly includes both cancer and non-cancer patients, violating this criterion.",no,"While bisphosphonates are mentioned, this is a general review of MRONJ risk factors and prevention protocols, not a study of specific bisphosphonate interventions.",no,No control group is mentioned as this isn't a primary research study.,no,"The abstract mentions ""dental treatments"" but does not specifically document invasive dental procedures like tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis. The paper appears to be a review/protocol paper rather than a study reporting specific procedures.",maybe,"While MRONJ is discussed, the abstract doesn't indicate that the paper uses specific diagnostic criteria.",no,"This appears to be a review paper or protocol description, not a primary research study with any of the specified designs (randomized controlled trial, prospective/retrospective cohort study, or case-control study).",maybe,"No patient numbers are mentioned in the abstract, so the subject size of the study is unclear.",maybe,No follow-up period is mentioned in the abstract.,Exclude,"The abstract describes a protocol for medication-related osteonecrosis of the jaw prevention, but fails to meet multiple critical screening criteria including specific study design, intervention details, and population specifications. As a review paper rather than a primary research study, it lacks the methodological rigor required by the screening criteria, particularly around patient population, intervention specifics, and research design.",0.1
Prophylaxis and antibiotic therapy in management protocols of patients treated with oral and intravenous bisphosphonates,"Elena-Beatriz Bermúdez-Bejarano, M. Serrera-Figallo, Aida Gutiérrez-Corrales, Manuel-María Romero-Ruíz, Raquel Castillo-de-Oyagüe, J. Gutierrez-Perez, D. Torres-Lagares",10.4317/jced.53372,https://doi.org/10.4317/jced.53372,Journal of Clinical and Experimental Dentistry,41,2017,no,The abstract does not specify age restrictions or primary diagnosis of osteoporosis. It appears to include patients with various conditions.,no,"The abstract mentions chemotherapy-associated osteonecrosis, indicating the inclusion of cancer patients.",maybe,"The abstract mentions both oral and intravenous bisphosphonates, but does not specifically focus on parenterally-administered bisphosphonates for osteoporosis treatment.",maybe,No mention of control groups is made in the abstract.,maybe,"The abstract mentions oral surgery and tooth extraction, but does not specifically document the incidence of MRONJ following these invasive dental procedures. The focus is more on antibiotic prophylaxis protocols rather than the specific dental procedures.",maybe,"While MRONJ is discussed, the abstract does not indicate whether established diagnostic criteria were used.",no,"This is a literature review, not a primary research study of any of the specified designs (randomized controlled trial, prospective/retrospective cohort study, or case-control study).",maybe,"The abstract does not mention any specific patient numbers, so the subject size is unclear.",maybe,No specific follow-up period is mentioned in the abstract.,Exclude,"The literature review fails to meet multiple critical screening criteria, including study design, population specifications, and intervention focus. Key limitations include the absence of a primary research methodology, inclusion of cancer patients, and lack of clarity around patient numbers, follow-up periods, and MRONJ diagnostic criteria. The paper does not align with the required parameters for a comprehensive study on bisphosphonate-related osteonecrosis.",1.4
Osteonecrosis of the Jaw Associated with Antiangiogenics in Antiresorptive-Naïve Patient: A Comprehensive Review of the Literature,"Kununya Pimolbutr, S. Porter, S. Fedele",10.1155/2018/8071579,https://doi.org/10.1155/2018/8071579,BioMed Research International,62,2018,no,"The mean age is 59.06 years (meeting adult requirement), but the primary diagnosis is not osteoporosis - the most common underlying disease was metastatic renal cell cancer.",no,"The study explicitly includes cancer patients (metastatic renal cell cancer), which violates this criterion.",no,"The study focuses on antiangiogenic therapy, not parenterally-administered bisphosphonates for osteoporosis, which is a clear mismatch with the inclusion criteria.",no,No control group is mentioned in the abstract.,no,"The study does not specifically focus on reporting MRONJ incidence following documented invasive dental procedures, but rather mentions dental extraction as a secondary risk factor.",no,"While MRONJ is discussed, the abstract does not explicitly state the diagnostic criteria used.",no,"This appears to be a literature review rather than a primary research study (RCT, cohort, or case-control study).",no,"The study reports on 35 patients total, which falls well below the required minimum of 100 patients.",no,"The abstract mentions a mean duration of treatment before MRONJ development, but does not clearly specify the follow-up period after MRONJ diagnosis.",Exclude,"The study fails multiple critical screening criteria, including using antiangiogenic therapy instead of bisphosphonates, having a small sample size of 35 patients, and including cancer patients rather than an osteoporosis population. The literature review design and lack of a control group further disqualify the study from meeting the systematic review's requirements. Multiple fundamental mismatches with the specified screening criteria render this paper unsuitable for inclusion.",0.1
Incidence and risk factors associated to Medication-Related OsteoNecrosis of the Jaw (MRONJ) in patients with osteoporosis after tooth extractions. A 12-months observational cohort study.,"A. Cuozzo, V. Iorio-Siciliano, Emanuele Vaia, Leopoldo Mauriello, A. Blasi, L. Ramaglia",10.1016/j.jormas.2022.03.020,https://doi.org/10.1016/j.jormas.2022.03.020,Journal of Stomatology Oral and Maxillofacial Surgery,4,2022,yes,The study includes adult patients (mean age 67.5 years) with osteoporosis as the primary diagnosis.,maybe,The abstract doesn't explicitly state whether patients with cancer were excluded.,no,"The study examines oral bisphosphonates (alendronate, risedronate, ibandronate), not parenterally-administered bisphosphonates as required. This is a critical failure.",no,The abstract doesn't mention a control group of patients not receiving anti-resorptive medications.,yes,"The study specifically focuses on tooth extractions, which is one of the listed invasive dental procedures. This criterion is clearly met.",maybe,"The abstract doesn't explicitly state the diagnostic criteria used for MRONJ, though it does track ""osteonecrosis"" as an outcome. This creates some uncertainty.",yes,"While not explicitly stated, this appears to be a prospective cohort study based on the methodology described.",no,"The study includes only 45 patients, which falls well below the required minimum of 100 patients. This is a clear failure of a key criterion.",yes,"The study includes a 12-month follow-up period, which exceeds the minimum requirement of 6 months.",Exclude,"The study fails to meet critical screening criteria, specifically the required sample size of 100 patients and the use of parenterally-administered bisphosphonates. Multiple methodological limitations, including the absence of a control group and uncertainty around MRONJ diagnostic criteria, further compromise the study's alignment with the established screening requirements.",1.4
