Title,Authors,DOI,DOI link,Venue,Citation count,Year,"population, indication","Reasoning for ""population, indication""",MRONJ latency,"Reasoning for ""MRONJ latency""",Control Group,"Reasoning for ""Control Group""",Procedure and Outcome,"Reasoning for ""Procedure and Outcome""",Study Design,"Reasoning for ""Study Design""",Outcome Documentation,"Reasoning for ""Outcome Documentation""","population, age","Reasoning for ""population, age""",subject size,"Reasoning for ""subject size""",intervention type,"Reasoning for ""intervention type""",diagnostic standard for MRONJ,"Reasoning for ""diagnostic standard for MRONJ""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Occurrence and risk indicators of medication-related osteonecrosis of the jaw after dental extraction: a systematic review and meta-analysis.,"É. Gaudin, L. Seidel, M. Bacevic, E. Rompen, F. Lambert",10.1111/jcpe.12455,https://doi.org/10.1111/jcpe.12455,Journal of Clinical Periodontology,96,2015,no,"The study includes both osteoporosis and oncological patients, which violates the requirement for a pure osteoporosis population.",no,"The abstract does not mention documenting time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not explicitly mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,"The study clearly focuses on dental extraction and MRONJ incidence, meeting this criterion.",no,"This is a systematic review/meta-analysis of prospective studies, which doesn't directly meet the criterion for primary research designs.",maybe,"While the study documents MRONJ incidence, the follow-up period is not specified.",maybe,"The abstract does not specify the age requirements, though it mentions ""human patients"" which likely implies adults.",maybe,"The abstract does not specify the number of subjects, though as a meta-analysis it likely includes more than 100 subjects.",maybe,"The abstract mentions ""per os ARD"" (oral anti-resorptive drugs) for osteoporosis patients, which meets this criterion. However, it also includes other administration routes and non-bisphosphonate medications.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The study fails critical screening criteria by including a mixed population of osteoporosis and oncological patients, and by being a meta-analysis rather than a primary research design. Multiple key requirements were not met, including specific diagnostic standards, clear documentation of MRONJ latency, and a pure osteoporosis patient population. These significant methodological limitations render the study non-compliant with the established screening criteria.",1.4
THE RISK OF MEDICATION‐RELATED OSTEONECROSIS OF THE JAW AFTER DENTAL EXTRACTION IS HIGHER FOR PATIENTS ON INTRAVENOUS AS COMPARED WITH ORAL ANTIRESORPTIVE DRUGS,E. Abt,10.1016/j.jebdp.2017.03.007,https://doi.org/10.1016/j.jebdp.2017.03.007,Journal of Evidence-Based Dental Practice,2,2017,no,The abstract did not specify if the subjects were osteoporosis patients or if there was a mixed population.,no,"Elicit could not determine the time interval between the start of medication and dental procedure, and between the dental procedure and MRONJ incidence from the abstract.",no,Elicit could not determine from the abstract if the study included a control group of patients not taking anti-resorptive medications.,yes,"The abstract mentions dental extraction, which is one of the specified procedures.",no,"This is a systematic review and meta-analysis, not a primary research study, which is a critical failure as Elicit needs primary research studies.",no,Elicit could not determine the follow-up period from the abstract.,no,Elicit could not determine from the abstract if the subjects were over 18 years old.,no,Elicit could not determine the sample size from the abstract.,no,Elicit could not determine if only oral bisphosphonates were included in the study.,no,Elicit could not determine the diagnostic standards for MRONJ from the abstract.,Exclude,"This systematic review and meta-analysis fails to meet critical screening criteria, primarily because it is not a primary research study. The extremely brief abstract lacks sufficient detail to assess most inclusion requirements, with only the dental extraction procedure being clearly identifiable. Multiple key screening criteria remain unverifiable due to limited information.",0.1
Medication-Related Osteonecrosis of the Jaw in Patients Treated Concurrently with Antiresorptive and Antiangiogenic Agents: Systematic Review and Meta-Analysis,"A. Srivastava, G. N. Nogueras Gonzalez, Yimin Geng, Alexander M. Won, J. Myers, Yisheng Li, M. Chambers",10.36401/JIPO-21-14,https://doi.org/10.36401/JIPO-21-14,Journal of Immunotherapy and Precision Oncology,8,2021,no,"The study focuses on patients taking antiresorptive (AR) drugs, but appears to include cancer patients (given the mention of antiangiogenic drugs which are typically used in cancer treatment). This fails to meet the criterion of excluding cancer patients.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence.",maybe,"The abstract mentions comparing concurrent AA-AR drugs with AA only and AR only groups, but does not explicitly mention a control group of patients not taking any medications.",no,The abstract does not specify any dental procedures leading to MRONJ.,yes,"The abstract mentions including retrospective cohort studies, which meets this criterion.",maybe,"While the study reports MRONJ prevalence, it does not specify the follow-up period.",maybe,The abstract does not specify the age of the subjects.,maybe,The abstract does not specify the total number of subjects in the included studies.,no,"The study includes both AR and AA drugs, and does not specify whether the AR drugs are oral bisphosphonates. It appears to be a broader review of antiresorptive medications.",no,The abstract does not mention the diagnostic standards used for MRONJ.,Exclude,"The study fails key screening criteria by including cancer patients and not focusing exclusively on oral bisphosphonates, which immediately disqualifies it from meeting the specified research parameters. Multiple critical elements are missing or uncertain, including diagnostic standards, dental procedures, and specific medication details, further compromising its alignment with the screening requirements. The broad scope and lack of specificity in patient population and intervention type render the study unsuitable for the intended research focus.",1.4
Risk of medication-related osteonecrosis of the jaw after dental extractions in patients receiving antiresorptive agents - A retrospective study of 240 patients.,"R. Coropciuc, R. Coopman, M. Garip, E. Gielen, C. Politis, T. Van den Wyngaert, B. Beuselinck",10.1016/j.bone.2023.116722,https://doi.org/10.1016/j.bone.2023.116722,Bone,13,2023,no,"The study includes a mixed population of both osteoporosis and bone metastases patients, which explicitly violates the criterion requiring only osteoporosis patients.",maybe,"The study mentions ""median drug exposure of 43 months"" but doesn't clearly document the specific time intervals required.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,"The study specifically looks at dental extractions and reports MRONJ incidence, meeting this criterion.",yes,"The study is described as retrospective, which is an acceptable design.",maybe,"The study reports MRONJ incidence and includes follow-up information about mucosal healing, suggesting adequate documentation. The follow-up period isn't explicitly stated.",maybe,"While not explicitly stated, the context suggests adult patients (osteoporosis and bone metastases), but this isn't definitively confirmed.",yes,"The osteoporosis cohort has 126 patients, which meets the >100 subject requirement.",maybe,"The abstract only mentions ""antiresorptive agents"" without specifying oral bisphosphonates, which is too vague to confirm it meets the criterion.",maybe,"While MRONJ is discussed, the abstract doesn't explicitly mention diagnostic standards.",Include,"The study involves a mixed population of osteoporosis and bone metastases patients, which directly conflicts with the requirement for a pure osteoporosis patient group. While the research meets some screening criteria like subject size and study design, critical limitations include the lack of a control group and unclear specification of medication type. The mixed population and incomplete documentation of key methodological details significantly compromise the study's alignment with the screening requirements.",2.5
Association between periodontitis and medication-related osteonecrosis of the jaw: a systematic review and meta-analysis.,"A. Lorenzo-Pouso, M. Pérez‐Sayáns, C. Chamorro-Petronacci, P. Gándara-Vila, P. López‐Jornet, Javier Carballo, A. García-García",10.1111/jop.12963,https://doi.org/10.1111/jop.12963,Journal of Oral Pathology & Medicine,36,2019,no,"The abstract mentions ""antiresorptive therapies"" but doesn't specifically state these are for osteoporosis treatment, and appears to include mixed populations (""several antiresorptive therapies and other pharmaceutical interventions"").",no,"No mention of time intervals between medication start, dental procedures, and MRONJ incidence.",maybe,"The abstract mentions ""at-risk non-affected patients"" as a comparison group, but it's unclear if these are patients not taking anti-resorptive medications.",no,"The abstract focuses on periodontal disease as a risk factor for MRONJ, but doesn't specifically study MRONJ incidence following dental procedures.",yes,"The abstract mentions including ""5 cohort studies, and 7 case-control studies"" which meets the criteria.",no,"While the study documents MRONJ, it's not in the context of dental treatment outcomes, and follow-up period is not specified.",no,The abstract does not specify the age of subjects.,no,The abstract doesn't specify the number of subjects in the included studies.,no,"The abstract refers to ""antiresorptive therapies"" broadly and doesn't specify oral bisphosphonates.",maybe,"The abstract mentions ""prefixed definitions"" but doesn't specify the diagnostic standards.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including specific intervention type, population indication, and procedure-related outcomes. While the study includes appropriate research designs, it lacks precise documentation of key parameters such as subject age, medication specifics, and dental procedure-related MRONJ incidence. The research appears more focused on periodontal disease associations with MRONJ rather than meeting the predefined screening requirements.",1.4
The Prevention of Medication-related Osteonecrosis of the Jaw.,"P. Poxleitner, M. Engelhardt, R. Schmelzeisen, P. Voss",10.3238/arztebl.2017.0063,https://doi.org/10.3238/arztebl.2017.0063,Deutsches Ärzteblatt International,45,2017,no,"The abstract discusses both cancer patients and osteoporosis patients, mentioning ""1-20% of patients with bone metastases"" and ""0.1-2% of patients being treated for osteoporosis."" This mixed population violates the criterion.",no,"The abstract doesn't document specific time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not explicitly mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,The abstract does mention tooth extraction as a procedure and its relationship to MRONJ incidence.,no,"This is a systematic review of other studies, not a primary research study of the required designs.",maybe,"While MRONJ incidence is discussed, the follow-up period is not specified.",maybe,"The abstract does not specify the age requirements, though it likely includes adults given the context.",maybe,"While the abstract mentions a case series of ""over 1200 patients,"" this is not the main study but rather a cited study. The actual study size is not clearly stated.",maybe,"The abstract discusses ""antiresorptive treatment"" and ""bisphosphonates"" but doesn't specify oral administration exclusively.",no,The abstract doesn't mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review fails to meet multiple screening criteria, including a mixed patient population, lack of specific diagnostic standards, and absence of a clear primary research design. Critical shortcomings include the inclusion of cancer patients alongside osteoporosis patients and the inability to definitively document MRONJ latency periods or follow-up outcomes. These methodological limitations render the study unsuitable for inclusion in the systematic review.",1.4
Interventions for managing medication-related osteonecrosis of the jaw.,"Natalie H Beth-Tasdogan, B. Mayer, H. Hussein, O. Zolk",10.1002/14651858.CD012432.pub2,https://doi.org/10.1002/14651858.CD012432.pub2,Cochrane Database of Systematic Reviews,197,2017,no,"The abstract includes mixed populations of both cancer patients and osteoporosis patients, which is a clear violation of the inclusion criteria that specifically excludes mixed populations and cancer patients.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence.",maybe,"The abstract does not explicitly state that the study included a control group of patients not taking anti-resorptive medications, so Elicit could not confirm this criterion was met.",yes,"The abstract mentions dental procedures including extractions and discusses MRONJ incidence following these procedures, which meets the criterion of reporting MRONJ incidence following specific dental procedures.",yes,"The paper is a systematic review of RCTs, which meets the study design criterion.",maybe,"While the abstract discusses MRONJ incidence, it does not specify the follow-up period length.",maybe,"The abstract does not explicitly state the age of the participants, so Elicit could not confirm this criterion was met.",yes,"The abstract mentions 1218 total participants across 5 RCTs, with individual trial sizes ranging from 34 to 700 participants, which meets the criterion of including over 100 subjects for the medication group at the final statistical analysis stage.",no,"The abstract mentions both oral and intravenous bisphosphonates, and includes other medications like denosumab, which does not meet the criterion of only including subjects taking oral bisphosphonate medication for osteoporosis treatment.",no,The abstract does not explicitly mention the diagnostic standards for MRONJ.,Exclude,"The systematic review fails key screening criteria by including mixed patient populations with cancer and osteoporosis, and incorporating both oral and intravenous bisphosphonates. Critical exclusion criteria were not met, particularly regarding population indication and intervention type, which fundamentally disqualifies the study from meeting the specified screening requirements. Multiple other criteria were either uncertain or not addressed, further compromising the study's alignment with the screening protocol.",1.4
Incidence and severity of medication-related osteonecrosis of the jaw in patients with osteoporosis using data from a Korean nationwide sample cohort in 2002 to 2019: a retrospective study,"Su-Youn Ko, Tae-Yoon Hwang, Kiook Baek, Chulyong Park",10.12701/jyms.2023.01116,https://doi.org/10.12701/jyms.2023.01116,Journal of Yeungnam Medical Science,0,2024,yes,"The study specifically focuses on patients with osteoporosis, excluding cancer patients, which clearly meets the criterion.",no,"The abstract doesn't document the time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not explicitly mention a control group of patients not taking anti-resorptive medications, which is a significant missing element.",no,"The abstract doesn't specify which dental procedures were associated with MRONJ incidence, only mentioning ""invasive treatment"" in general terms.",yes,"This appears to be a retrospective cohort study using national health insurance data, which meets the criterion.",no,"While MRONJ incidence is documented (0.17%), the follow-up period isn't specified.",yes,"The study includes patients ""aged 40 years and above,"" which meets the criterion of over 18 years.",maybe,"While the exact number isn't stated, this is described as a ""large-scale cohort study"" using national health insurance data, suggesting it likely includes over 100 subjects. However, this isn't explicitly confirmed.",no,"The study includes both bisphosphonates and SERMs, which doesn't strictly meet the criterion of only oral bisphosphonates. This is a significant deviation from the criteria.",no,"The abstract doesn't mention specific diagnostic standards for MRONJ, which is a missing element.",Include,"A large-scale retrospective cohort study examining medication-related osteonecrosis of the jaw in osteoporosis patients reveals significant methodological limitations, including mixed medication groups and lack of specific dental procedure details. While the research provides insights into MRONJ incidence, it deviates from strict screening criteria by including non-bisphosphonate medications and omitting key diagnostic and procedural specifications. The study's broad approach and national health insurance data offer valuable preliminary findings, but fall short of meeting comprehensive research screening requirements.",2.9
Risk-reductive dental strategies for medication related osteonecrosis of the jaw among cancer patients: A systematic review with meta-analyses.,"Harry Karna, Jaime González, Harveen S Radia, P. Sedghizadeh, R. Enciso",10.1016/j.oraloncology.2018.08.003,https://doi.org/10.1016/j.oraloncology.2018.08.003,Oral Oncology,26,2018,no,"The study specifically focuses on cancer patients receiving antiresorptive therapy, which is explicitly excluded in the criteria.",no,"The study does not mention the time intervals between medication start, dental procedures, and MRONJ incidence.",yes,"The study included a control group of patients not taking anti-resorptive medications, which adds 0.2 points to the score.",maybe,"While the study mentions ""dental interventions"" and ""dental treatment,"" it does not specifically detail the procedures listed in the criteria.",yes,"The study includes RCT, case-control, and cohort studies, which meet the study design criteria.",maybe,"While MRONJ incidence is documented, the follow-up period is not specified.",maybe,"The abstract does not specify the age requirements for the study population, though it is noted that cancer patients are typically adults.",yes,"The study includes 2332 patients, which is well above the 100-subject requirement.",no,"The study does not specify oral bisphosphonates and appears to include general ""antiresorptive therapy"" which may include other medications.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review focuses on cancer patients receiving antiresorptive therapy, which directly conflicts with the specified screening criteria requiring osteoporosis patients. Multiple critical screening requirements were not met, including population indication, intervention type, and diagnostic standards for MRONJ. The study's methodology and population fundamentally diverge from the predefined screening parameters.",1.4
Medication-related osteonecrosis of the jaws (MRONJ) in cancer patients treated with denosumab VS. zoledronic acid: A systematic review and meta-analysis,"Alvaro Limones, L. Sáez-Alcaide, S. Díaz-Parreño, A. Helm, M. Bornstein, P. Molinero-Mourelle",10.4317/medoral.23324,https://doi.org/10.4317/medoral.23324,Medicina Oral,91,2020,no,"The study specifically focuses on cancer patients taking denosumab or zoledronic acid, which explicitly violates the criterion requiring subjects with osteoporosis treatment.",no,The study documents time intervals for medication exposure but not specifically for dental procedures to MRONJ incidence.,no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",no,The abstract does not mention any specific dental procedures leading to MRONJ.,no,"The study is a meta-analysis of randomized controlled trials, which is not one of the accepted study designs.",no,"While the study documents MRONJ incidence over time periods, it doesn't specify follow-up after dental procedures.",maybe,"The abstract does not explicitly state the age of subjects, though cancer patients are typically adults.",yes,"The study includes 13,857 patients total, well exceeding the 100-subject requirement.",no,"The study includes both denosumab (non-bisphosphonate) and zoledronic acid (intravenous bisphosphonate), which violates the criterion requiring only oral bisphosphonates.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The study focuses on cancer patients taking denosumab or zoledronic acid, which critically deviates from the required osteoporosis patient population and oral bisphosphonate intervention. Multiple screening criteria were not met, including study design, diagnostic standards, and specific dental procedure documentation, rendering the paper unsuitable for inclusion in the review.",0.1
